ProjectKey,nb_tickets,nb_deployed,avg_lead_time_h,median_lead_time_h,nb_delayed,delay_rate_pct,data_source,deploy_freq_per_week,cfr_pct,mttr_hours
NEOB,175,87,10868.58,10750.77,175,100.0,jira+git,,,
PG,80,45,17019.06,4248.0,80,100.0,jira+git,0.0,0.0,
CMIG,120,64,6664.77,6622.77,120,100.0,jira+git,,,
DL,379,0,5757.29,4945.88,253,66.8,jira_only,0.0,0.0,
APG,100,57,19792.51,5088.0,100,100.0,jira+git,,,
MBC,34,0,8843.37,9070.77,23,67.6,jira+git,0.0,3.5,738.21
DO,75,41,24201.68,4248.0,75,100.0,jira+git,1.44,37.1,247.65
FDAI,90,45,14405.79,5760.0,90,100.0,jira+git,,,
RIDIDP25,24,0,8381.76,10078.77,5,20.8,jira_only,,,
CSCCP25,79,0,4009.19,2638.77,65,82.3,jira_only,,,
MWBR,125,18,9479.77,10270.77,0,0.0,jira+git,0.02,3.6,511.49
